Student,major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,professor_age,grade,zodiac
98,Cognitive and Behavioral Neuroscience,DSCI 101 - 002,Junior,Bears,US Midwest (other than IL),Science,60,5,9,Instagram,Blue,No,75,Hot Dog,34,A,Sagittarius
99,Engineering,STAT 203 - 002,Junior,Cubs,Illinois,Social studies,60,5,4,X.com (Twitter),Blue,No,170,Taco,30,A,Gemini
100,Public Health,STAT 103 - 001,Junior,None of the above,Illinois,Arts,180,5,5,TikTok,Pink,No,30,Grilled Cheese,30,A,Pisces
101,Data Science ,DSCI 101 - 002,Freshman,Bears,US Northeast,Social studies,60,6,2,TikTok,Red,No,Probably more than 20,Taco,40,A,Leo
102,Healthcare Administration ,STAT 203 - 002,Sophomore,Cubs,US West,Science,60,5,2,Instagram,Pink,Yes,100,Grilled Cheese,30,A,Gemini
103,Computer Science,DSCI 101 - 002,Senior,None of the above,Illinois,Social studies,90,5,10,Instagram,Black,No,10,Hot Dog,36,A,Gemini
104,Biochemistry,STAT 203 - 002,Sophomore,None of the above,Illinois,Math,0,5,6,Instagram,Blue,Yes,"1,000+ I got too many that I can't store any anymore",Grilled Cheese,38,A,Leo
105,mathematics + finance,STAT 203 - 002,Sophomore,Blackhawks,Illinois,Arts,150,6,0,Instagram,Purple,Yes,20,Hot Dog,20,A,Pisces
106,Nursing,STAT 103 - 001,Freshman,Cubs,US West,Arts,50,5,1,TikTok,Purple,No,100,Hot Dog,35,A,Taurus
107,Nursing ,STAT 103 - 001,Freshman,Cubs,US Midwest (other than IL),Science,60,5,0,Instagram,Pink,No,200,Hot Dog,35,A,Aquarius
108,Nursing,STAT 103 - 001,Senior,White Sox,Illinois,None of the above,60,5,11,None of the above,Purple,No,130?,Grilled Cheese,33,B,Taurus
109,"Data Science, Political Science",DSCI 101 - 002,Freshman,Blackhawks,Illinois,Social studies,20,5,9,Instagram,Green,Yes,150,Hot Dog,40,A,Pisces
110,Psychology,DSCI 101 - 002,Senior,White Sox,US West,Science,90,6,0,None of the above,Purple,No,50,Hot Dog,38,A,Scorpio
111,Accounting,STAT 103 - 001,Junior,Cubs,US Northeast,Social studies,30,5,10,None of the above,Red,Yes,20 physical/ several hundred e-books,Grilled Cheese,27,B,Scorpio
112,Human Resource Management,STAT 103 - 001,Freshman,Bears,US South,Social studies,30,5,6,Instagram,Pink,No,200-300,Hot Dog,30,A,Taurus
113,Data Science,DSCI 101 - 002,Freshman,Cubs,Illinois,Math,60,5,8,Instagram,Green,No,25,Hot Dog,30,B,Virgo
114,Psychology ,STAT 103 - 001,Senior,Blackhawks,Outside of the US,Science,30,5,6,TikTok,Pink,No,100,Taco,38,A,Virgo
