date,total,age_0_17,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80,female,male
8/27/2022,386,77,68,58,54,47,33,32,17,224,162
3/2/2021,329,46,104,62,44,31,25,11,6,183,146
6/9/2022,982,190,190,206,158,104,66,45,23,577,403
1/22/2021,736,102,172,144,116,97,61,30,14,387,349
4/23/2020,1466,32,192,206,223,239,246,161,167,780,684
7/5/2021,58,11,15,14,7,5,3,2,1,26,31
2/14/2021,143,22,38,29,19,17,4,12,2,75,68
8/14/2022,388,62,69,64,53,53,42,28,17,204,184
3/7/2022,166,33,36,25,23,15,20,7,7,88,78
7/14/2023,52,4,9,9,2,4,9,11,4,25,27
8/17/2021,558,80,156,128,78,57,36,15,8,271,283
1/18/2021,715,85,143,163,107,80,82,33,22,392,323
5/31/2020,121,16,28,20,22,12,13,5,5,59,61
7/24/2021,197,45,54,35,16,24,14,5,4,94,103
12/19/2020,853,96,171,162,160,119,76,40,29,450,396
5/9/2023,137,40,10,18,9,13,24,14,9,77,59
12/23/2022,327,34,43,76,37,52,40,26,19,182,143
11/4/2020,2512,302,707,563,365,289,173,84,29,1291,1212
12/19/2021,2584,399,796,662,344,214,104,42,23,1435,1138
6/3/2023,33,4,5,6,6,5,3,2,2,12,21
8/22/2020,191,18,59,32,28,26,16,10,2,97,93
8/31/2020,413,58,121,72,60,49,29,15,9,217,195
5/6/2022,1063,227,214,217,167,106,80,33,19,581,482
8/28/2020,383,66,109,62,50,47,29,15,5,185,198
1/23/2022,666,166,116,134,99,70,43,24,14,333,332
3/12/2021,349,52,93,79,49,46,18,6,6,202,147
10/25/2020,525,66,139,124,63,66,39,18,10,281,243
4/5/2021,947,179,235,212,151,96,46,20,8,500,447
5/8/2020,921,52,168,191,196,154,82,44,34,453,466
6/18/2020,184,24,43,34,30,29,9,5,10,94,88
11/22/2020,780,62,200,159,141,88,76,34,20,384,395
10/2/2020,415,46,107,98,60,40,23,30,11,207,208
4/17/2021,438,70,98,96,78,46,24,14,12,236,202
5/8/2021,271,47,74,58,38,28,14,5,7,166,105
12/10/2022,331,37,43,63,57,33,44,26,28,197,134
10/29/2020,1887,216,543,405,300,194,131,60,38,977,908
3/30/2023,256,58,30,45,27,27,30,24,15,150,106
6/11/2020,201,19,62,27,28,33,19,9,4,108,88
11/23/2022,514,62,81,102,56,62,73,50,28,266,248
10/31/2020,1066,136,272,222,169,130,86,39,12,544,522
5/19/2021,278,45,70,64,25,30,33,7,4,148,130
2/4/2021,538,68,138,122,68,64,45,21,12,269,268
8/10/2020,376,41,107,68,63,49,24,19,5,184,191
3/20/2022,120,21,27,30,18,7,13,3,1,76,44
12/7/2020,2065,274,472,398,328,284,170,92,47,1073,984
7/13/2021,103,15,22,32,10,10,6,6,2,49,51
10/1/2021,383,79,94,85,46,35,26,13,5,202,177
9/15/2022,390,81,70,51,46,53,41,29,19,223,167
9/1/2022,641,157,80,124,85,86,49,33,27,367,274
6/6/2021,58,10,19,8,7,5,5,3,1,32,26
9/2/2020,405,42,127,81,67,45,25,12,6,224,180
8/25/2020,412,52,121,75,68,50,27,9,9,225,184
9/25/2020,379,44,101,78,66,46,26,12,6,202,176
5/1/2021,352,63,71,67,58,41,36,11,5,184,168
5/10/2021,399,103,66,72,67,50,29,7,5,217,182
3/5/2020,1,0,0,0,0,1,0,0,0,1,0
7/11/2020,154,8,68,23,22,13,12,8,0,79,75
9/5/2020,203,23,61,40,34,21,17,6,1,94,109
2/15/2022,358,94,80,70,29,34,25,12,14,206,152
7/28/2020,332,36,87,75,66,33,19,9,7,185,145
12/9/2020,1757,194,433,333,292,220,178,75,32,942,809
6/22/2023,45,3,11,7,2,8,2,6,6,29,16
11/24/2020,1923,239,443,366,324,251,161,84,54,1021,894
10/11/2021,320,72,65,64,39,40,21,15,4,181,139
4/7/2022,509,103,118,123,76,47,24,14,3,279,228
3/11/2022,125,27,24,25,13,16,12,4,4,55,70
11/15/2021,692,194,121,145,100,66,35,20,11,347,339
11/1/2021,436,108,65,96,51,55,37,15,9,233,202
4/1/2020,461,3,57,68,87,85,91,41,29,245,216
10/4/2022,381,75,50,67,44,47,46,30,22,236,145
6/13/2023,39,6,4,6,7,3,6,5,2,25,14
6/20/2021,27,6,6,4,4,2,5,0,0,16,11
2/5/2023,164,36,21,25,21,22,15,15,9,95,69
7/8/2021,76,13,30,16,5,6,3,3,0,43,33
7/10/2021,49,7,12,16,8,2,1,3,0,24,25
3/24/2021,682,63,250,168,79,71,32,12,7,332,349
6/1/2020,233,21,50,35,32,35,17,17,26,137,95
2/15/2021,258,35,63,59,35,29,21,13,3,128,130
8/1/2022,949,130,177,166,143,124,109,72,28,563,384
12/23/2020,1223,140,289,222,193,166,119,62,32,635,583
1/7/2023,299,31,58,34,48,45,36,26,21,170,128
4/19/2022,887,199,232,189,102,76,52,24,13,496,388
9/27/2022,367,79,51,51,61,51,34,23,17,204,163
1/6/2021,1454,190,415,296,205,154,107,63,24,754,692
5/6/2021,399,64,100,83,48,46,38,13,7,217,182
1/18/2023,463,154,62,56,53,55,36,28,19,252,210
9/9/2020,400,41,132,74,54,46,37,11,5,217,183
6/16/2020,210,18,58,37,32,32,21,3,9,117,92
4/9/2022,281,52,47,79,37,23,17,19,7,144,134
2/23/2022,236,57,55,49,27,21,14,9,4,135,101
11/15/2020,833,85,191,160,139,110,84,35,28,443,390
6/19/2022,480,64,97,112,75,52,43,20,17,279,201
6/30/2021,51,11,12,10,9,3,3,3,0,20,31
1/4/2021,1878,230,475,388,304,226,137,71,47,988,881
7/27/2021,302,38,85,83,44,28,12,7,5,162,140
3/28/2022,352,99,80,69,35,36,17,13,3,182,169
12/4/2020,1856,240,409,341,306,272,158,85,45,939,912
8/26/2022,547,103,93,73,84,69,71,31,23,329,215
11/21/2022,506,48,59,78,78,85,88,36,34,272,234
11/9/2022,499,126,74,75,63,66,45,28,22,278,221
5/31/2021,45,4,8,10,8,4,5,2,4,23,22
4/21/2021,655,110,161,134,105,62,44,19,20,346,309
5/31/2022,1649,379,297,327,219,184,140,65,38,959,690
1/17/2021,392,40,74,74,61,68,31,26,18,195,197
6/23/2023,37,3,3,7,3,6,4,5,6,27,10
11/25/2020,1833,260,430,354,257,237,165,85,45,969,857
9/19/2020,170,11,49,41,23,24,16,2,4,89,81
6/9/2021,64,11,14,7,12,10,4,3,3,33,30
7/27/2020,362,51,102,66,50,40,30,14,9,194,166
3/10/2021,336,52,101,67,42,41,21,7,5,169,167
8/14/2020,347,54,86,64,59,40,26,10,8,180,165
9/7/2021,577,119,133,99,86,61,41,23,15,302,274
8/18/2021,555,75,152,122,80,59,39,20,8,274,280
5/23/2021,95,15,24,18,12,8,6,4,8,52,43
9/19/2021,244,55,50,56,34,23,16,2,8,127,116
6/15/2020,235,36,57,42,34,30,25,9,2,132,101
7/24/2020,346,38,102,77,47,39,21,11,11,195,149
12/10/2020,1703,227,364,328,281,230,161,64,48,903,791
5/19/2020,888,78,211,170,148,129,85,39,28,450,433
2/2/2021,647,68,159,124,103,84,64,26,19,316,331
3/25/2020,367,2,51,71,72,82,33,36,20,169,198
11/8/2021,605,176,117,103,93,60,26,18,12,303,301
3/1/2021,312,47,81,53,45,32,34,9,11,156,155
7/19/2020,100,14,27,23,9,14,6,6,1,53,46
8/30/2020,100,12,24,16,18,14,8,4,4,48,51
3/8/2022,163,44,38,24,16,14,12,11,4,89,73
6/10/2020,232,10,57,45,31,36,26,18,9,128,101
10/18/2020,347,30,84,90,58,43,21,16,5,172,174
3/19/2022,122,16,32,29,13,14,13,2,2,74,48
1/10/2021,495,62,121,93,77,64,40,23,15,258,233
10/28/2020,1736,213,461,402,288,192,109,50,21,905,823
4/2/2020,436,2,58,69,85,91,58,40,33,210,226
8/18/2022,588,93,88,99,75,78,78,52,25,340,247
8/23/2021,644,124,141,141,80,66,54,26,12,337,307
6/21/2020,48,4,16,11,3,7,2,4,1,29,19
11/2/2021,490,131,94,111,54,43,29,18,10,262,226
5/31/2023,78,28,5,13,5,9,9,5,4,45,33
9/3/2021,511,122,130,95,76,35,24,20,9,242,268
5/22/2020,724,64,154,135,125,112,74,35,25,369,348
5/2/2020,719,25,142,126,154,143,74,40,15,343,376
11/24/2022,161,16,22,26,25,20,19,17,16,89,72
2/7/2022,577,141,113,103,65,50,49,32,24,297,279
5/21/2021,245,53,49,44,36,33,18,6,6,140,105
3/2/2022,153,46,32,26,21,16,5,3,4,83,70
9/1/2020,330,34,97,70,38,45,32,8,6,177,153
10/21/2022,365,37,64,64,54,51,43,40,12,217,146
9/28/2020,419,56,101,76,69,53,39,14,11,216,201
6/17/2022,680,100,127,137,99,91,64,38,24,415,265
11/28/2020,1373,158,326,257,218,200,129,55,30,698,674
10/11/2022,395,61,56,64,45,52,62,34,21,218,176
2/22/2022,280,78,66,43,28,25,19,11,10,136,144
11/13/2022,188,24,28,39,25,23,15,23,11,105,83
8/13/2020,390,39,118,78,72,40,24,11,8,211,177
8/14/2021,405,77,102,100,49,33,29,12,3,215,190
5/30/2022,386,51,69,69,73,51,32,17,24,235,150
2/14/2022,381,108,78,61,40,36,29,20,9,186,193
4/8/2020,704,11,86,100,107,154,129,69,48,353,351
7/20/2020,394,53,95,90,55,47,36,14,4,198,192
7/23/2020,318,33,100,68,43,36,17,12,9,189,128
1/14/2023,181,22,29,23,22,24,27,21,13,111,70
11/26/2020,265,22,48,36,39,34,35,31,19,133,132
5/21/2020,798,75,174,137,119,122,78,50,43,417,372
2/24/2022,235,63,53,49,25,19,10,12,4,132,101
4/22/2022,688,151,128,148,98,65,48,34,16,398,290
6/27/2021,15,4,2,4,1,0,1,3,0,9,6
9/15/2021,518,118,124,109,63,49,39,10,6,276,242
12/14/2021,2807,516,878,641,357,216,133,43,21,1493,1307
10/12/2020,681,69,180,119,122,91,59,31,10,322,356
9/28/2021,384,85,84,85,40,39,31,12,8,212,172
9/6/2020,143,16,44,30,17,18,10,3,5,72,71
2/18/2021,315,36,98,52,50,42,25,10,2,163,152
5/11/2021,309,60,65,69,41,34,30,5,5,160,149
1/29/2022,582,136,99,118,79,48,59,28,15,295,285
10/1/2020,364,50,123,69,41,49,15,15,2,177,186
6/19/2021,30,6,11,5,1,2,1,4,0,18,12
3/19/2023,127,12,20,18,20,17,18,14,8,72,55
4/24/2020,1074,30,177,172,186,188,158,74,89,516,558
5/4/2020,1121,57,217,224,244,177,109,53,40,565,556
5/22/2021,130,27,37,15,13,19,10,8,1,68,62
5/14/2021,289,66,69,55,34,28,26,7,4,156,133
12/28/2022,508,48,70,77,79,72,65,55,42,285,223
2/19/2021,318,46,83,63,41,42,13,16,14,164,153
6/19/2023,42,3,3,4,6,3,12,4,7,28,14
1/22/2023,180,15,33,36,24,19,20,27,6,98,81
9/12/2021,266,55,62,52,39,25,18,13,2,166,100
11/11/2022,422,93,59,65,44,53,47,29,31,231,191
3/21/2020,125,0,18,25,20,28,16,13,5,53,72
8/5/2023,53,9,9,11,6,3,6,6,3,36,17
9/7/2022,689,161,110,92,104,105,55,37,24,393,296
5/5/2020,1091,53,206,206,217,207,125,50,27,562,529
7/16/2020,298,27,88,67,44,31,22,10,9,156,141
7/9/2021,82,13,20,25,12,5,4,2,1,39,43
6/28/2021,50,12,9,9,9,5,3,3,0,18,32
4/12/2020,341,28,32,56,54,60,46,34,31,144,197
7/30/2022,487,55,93,98,65,66,52,38,20,291,195
10/2/2022,176,20,32,19,23,20,29,15,18,99,77
9/23/2022,339,46,64,59,39,55,41,26,9,188,150
7/31/2020,392,46,112,82,64,42,31,8,7,208,181
7/8/2020,306,37,99,67,37,33,20,11,2,158,148
4/16/2020,677,8,118,113,119,121,94,63,41,320,357
6/24/2023,22,2,6,2,4,4,0,2,2,13,9
1/24/2023,407,113,52,49,43,57,46,23,24,212,194
4/28/2021,572,85,144,130,94,68,28,13,10,302,269
5/25/2020,252,7,34,35,41,43,49,26,17,123,126
8/9/2020,115,16,41,21,12,6,9,6,4,53,62
4/19/2020,459,7,66,60,66,75,75,50,60,206,253
7/4/2022,257,39,40,49,29,36,25,20,18,141,115
1/3/2021,659,74,183,132,82,77,62,31,18,332,326
5/28/2022,613,91,114,132,94,66,55,40,21,349,264
6/8/2021,74,21,17,12,8,6,7,2,1,44,30
11/20/2022,262,30,37,47,29,43,27,33,16,154,108
10/4/2021,428,105,84,79,53,48,32,22,5,211,216
12/31/2020,970,89,250,199,141,119,79,56,37,491,477
9/21/2020,420,51,123,85,56,46,34,18,7,215,203
8/7/2022,441,61,86,95,65,60,42,19,13,244,197
9/16/2022,422,81,67,58,59,46,50,36,25,243,179
3/23/2022,312,59,67,89,36,33,17,9,2,186,126
6/21/2021,46,11,11,9,7,1,5,2,0,24,22
10/17/2021,200,38,42,49,25,18,12,10,6,116,84
10/6/2020,558,61,176,105,93,70,32,16,5,292,265
6/28/2020,110,8,36,22,20,10,9,3,2,64,46
9/23/2021,368,81,85,74,47,30,29,15,7,192,174
8/20/2022,372,64,65,65,44,52,39,24,19,204,167
3/26/2020,413,2,65,74,78,96,53,36,9,181,232
7/8/2023,34,2,8,3,4,4,4,7,2,22,12
8/21/2021,372,48,91,87,67,43,24,9,3,192,180
12/3/2021,920,207,188,170,130,88,79,44,14,444,473
7/5/2020,90,7,29,19,14,11,8,2,0,54,35
6/4/2023,30,5,4,4,4,3,5,3,2,16,14
6/3/2022,1097,241,199,217,146,122,90,59,23,623,474
2/19/2022,124,15,27,21,21,16,9,9,6,64,60
10/30/2022,198,25,32,25,24,30,29,15,18,116,82
11/28/2021,493,74,103,109,85,54,39,15,14,249,240
10/17/2022,466,90,77,67,60,56,57,39,20,263,203
9/27/2020,167,15,52,32,24,21,11,9,3,94,73
10/5/2020,553,54,157,116,96,66,38,22,4,266,286
2/25/2021,282,33,69,60,53,19,26,17,5,135,147
3/22/2022,269,58,64,64,41,21,10,8,3,158,111
6/14/2021,67,10,14,22,7,9,4,1,0,37,30
2/27/2022,93,18,18,18,11,11,9,6,2,48,45
6/24/2021,45,7,15,10,7,4,0,1,1,25,20
9/4/2022,252,43,38,43,34,37,23,19,15,132,120
7/6/2023,43,3,8,8,3,7,9,4,1,21,22
2/4/2022,580,151,128,85,73,63,45,16,19,322,257
